                   mean         std        2.5q         25q         50q        75q      97.5q       mc err
t_subj.5031    0.261117   0.0249889    0.205293    0.245715    0.264126   0.278297   0.303011   0.00111828
t_subj.5032    0.336007  0.00526155    0.324803    0.332802    0.336232   0.339378   0.346154  0.000169076
t_subj.5033    0.306625   0.0226819    0.256655    0.292342    0.310474   0.322655    0.34252  0.000984864
t_subj.5034    0.172408    0.011834    0.146987    0.165219    0.172851   0.180021   0.194936  0.000359451
t_subj.5035    0.332193   0.0166928     0.29868    0.321979    0.332683   0.343188   0.365747  0.000489807
t_subj.5036    0.384071   0.0217927    0.335997    0.370959    0.386433   0.399393   0.420566  0.000947164
t_subj.5037    0.260545   0.0195492    0.218343    0.248354    0.261549   0.273363   0.297242  0.000645176
t_subj.5038     0.33323   0.0167401    0.296713    0.323195    0.334309   0.344588   0.363411  0.000557108
t_subj.5039    0.231031   0.0143524    0.202779    0.221842    0.231114    0.23937   0.263165  0.000402741
t_subj.5040    0.370243   0.0160416    0.337656    0.360423    0.370304   0.380265   0.401238  0.000484506
t_subj.5041    0.134117   0.0129841    0.106948    0.125692    0.135164   0.143165   0.157831  0.000347635
t_subj.5042    0.300442   0.0077763    0.284058    0.295417    0.301036    0.30588   0.314321  0.000215701
t_subj.5043    0.378892   0.0157822    0.344222    0.368834    0.379523     0.3902   0.406595  0.000445584
t_subj.5044     0.19628   0.0105314    0.174058    0.189526    0.196962   0.203537   0.215282  0.000269311
t_subj.5045    0.167231   0.0189782    0.127329    0.153301    0.170975   0.181555    0.19627  0.000743993
t_subj.5046    0.270046   0.0175032     0.23473    0.258927     0.27039   0.281397     0.3043  0.000501455
t_subj.5047    0.421191   0.0110433    0.399033     0.41354    0.420807   0.429863   0.440718  0.000397915
t_subj.5048    0.270165   0.0139207    0.240089    0.261119    0.271375   0.279944   0.293997  0.000458005
t_subj.5049    0.212305   0.0221944    0.171646    0.197442    0.210381   0.225465   0.261992  0.000685493
t_subj.5050    0.239283   0.0916666    0.118292    0.146921    0.291364   0.326906   0.356843   0.00850458
t_subj.5051    0.355183    0.022997    0.301713    0.342346    0.356313   0.370379   0.398306  0.000783356
t_subj.5052     0.33461    0.014703    0.302546    0.325544    0.335716   0.344598   0.360548  0.000403977
t_subj.5053    0.276929   0.0194859    0.239762    0.264265    0.276122   0.288627   0.317891  0.000542293
t_subj.5054    0.235827   0.0205219    0.194833    0.224866    0.235624   0.245141   0.293958  0.000913462
t_subj.5055    0.359542   0.0184059    0.316338    0.349575    0.361678   0.372508   0.388884  0.000683785
t_subj.5056    0.289161     0.01991    0.244954    0.277159    0.290978   0.303817   0.322775  0.000595951
t_subj.5057    0.276854   0.0161183    0.241975    0.266642    0.278111   0.288386   0.304609  0.000690139
t_subj.5058    0.287429   0.0156226    0.251862    0.277746    0.289225   0.298475   0.312693  0.000564018
t_subj.5059    0.342044   0.0202424    0.302947    0.327473    0.341297   0.358163   0.378791  0.000614399
t_subj.5060    0.280349   0.0128731    0.252798    0.272499    0.281312   0.289432   0.302644  0.000496083
t_subj.5061    0.162014    0.029475    0.115326    0.142216    0.158408   0.176099    0.23294  0.000775372
t_subj.5062    0.296558   0.0111886    0.273042    0.289201    0.296811   0.304661   0.316319  0.000311428
t_subj.5063    0.353733   0.0143699    0.322951    0.345074     0.35463   0.363671   0.379556  0.000463471
t_subj.5064    0.323867   0.0185629     0.28427    0.311695    0.325772   0.337046   0.356157  0.000637926
t_subj.5065    0.323964    0.022961    0.281953    0.306377    0.323694   0.340378   0.368108  0.000853949
t_subj.5066    0.284839    0.015434    0.251606    0.274957    0.285863   0.295638   0.312226  0.000503801
t_subj.5067    0.300914   0.0249296    0.246404    0.286864    0.303065   0.317564    0.34328     0.001184
t_subj.5068     0.37993   0.0121666    0.348681    0.374417    0.381644   0.387577   0.400657  0.000418962
t_subj.5069    0.252369   0.0197333    0.213137    0.238843    0.253195   0.266687   0.288683  0.000544603
t_subj.5070    0.017486  0.00858701  0.00535784   0.0115603   0.0163176  0.0219296  0.0374908  0.000225944
t_subj.5071    0.439913     0.01285    0.411166    0.432234    0.440771   0.448872   0.461973  0.000404133
t_subj.5072    0.385098  0.00951348    0.371279    0.379937     0.38391   0.387804   0.417809   0.00043608
t_subj.5073     0.26644    0.015658    0.234972     0.25627    0.266277   0.276054   0.299202  0.000532697
t_subj.5074    0.427541   0.0145518    0.389355    0.420627    0.429443   0.437339   0.450248   0.00049118
t_subj.5075    0.363508   0.0228924    0.315585    0.349026    0.364588   0.378914   0.405923    0.0010368
t_subj.5076    0.233017   0.0159027    0.198777    0.222923    0.233703    0.24375   0.261172  0.000616997
t_subj.5077    0.392999   0.0172272     0.35958    0.381645    0.392377   0.404314   0.426294  0.000564367
t_subj.5078    0.221161   0.0156706    0.189021    0.210449    0.222261   0.232213   0.249479  0.000531543
t_subj.5079     0.25257    0.015963    0.218039    0.242449    0.254275   0.263512   0.280953  0.000605473
t_subj.5080    0.333846   0.0195966    0.294688    0.321621    0.333741    0.34655   0.372785  0.000742068
t_subj.5081    0.280569    0.015425    0.247523     0.27083    0.281286   0.290947   0.308355  0.000497634
t_subj.5082    0.119854   0.0221005   0.0686912    0.107489    0.125417   0.135978   0.150103   0.00076196
t_subj.5083    0.314874   0.0159825    0.281897    0.304478    0.315895   0.325353   0.346189  0.000444588
t_subj.5084    0.315756    0.029516    0.242659    0.300494    0.320821   0.336834   0.360307   0.00184324
t_subj.5085    0.228102   0.0159502    0.196865    0.215939    0.229827   0.240484   0.253898  0.000447794
t_subj.5086     0.18557  0.00973751    0.166946    0.178472    0.185948   0.192857   0.203012  0.000265927
t_subj.5087    0.350765   0.0108071    0.327513    0.343954    0.351567   0.358386   0.370293  0.000457474
t_subj.5088    0.260482   0.0156864    0.226931    0.250336    0.261835    0.27178   0.287647  0.000650616
t_subj.5089    0.255627   0.0131829    0.227034    0.247617    0.256593    0.26509    0.27847  0.000396552
DIC: 19705.489986
deviance: 19463.881332
pD: 241.608654
